#{"t_start": 1522494660.6319315, "env_id": "HalfCheetah-v2"}
r,l,t
1530.997706,1000,3940.304742
1990.946569,1000,3944.421306
2629.34282,1000,3949.546513
3171.102137,1000,3953.740755
3103.916519,1000,3958.984337
2126.84429,1000,3963.185773
3135.024058,1000,3968.388869
2801.434213,1000,3972.510667
3065.122106,1000,3977.664542
2866.882337,1000,3981.840753
3234.681637,1000,3987.041687
2326.43307,1000,3991.223674
3145.152548,1000,3996.399189
3042.713325,1000,4000.60289
3092.197989,1000,4005.788971
3158.456303,1000,4009.849524
2943.268356,1000,4015.038138
3054.663979,1000,4019.230052
3082.309703,1000,4024.399552
2938.18478,1000,4028.57859
3140.470597,1000,4033.775028
3155.254463,1000,4037.904743
3162.678495,1000,4043.043328
2872.673362,1000,4047.164987
3142.49643,1000,4052.359769
3271.18443,1000,4056.551774
2784.154746,1000,4061.745141
3039.192107,1000,4065.919074
3179.728488,1000,4071.146564
2907.782915,1000,4075.303164
2800.862235,1000,4080.466018
3157.09684,1000,4084.631655
3053.991882,1000,4089.825124
3216.034176,1000,4094.01109
2715.086044,1000,4099.236412
3216.988197,1000,4103.406132
2853.819255,1000,4108.602226
2980.504758,1000,4112.654749
2769.891922,1000,4117.852055
2858.049497,1000,4122.033982
2879.27044,1000,4127.264934
2994.123013,1000,4131.452451
3074.526601,1000,4136.634632
3099.849973,1000,4140.7984
