total/epochs,rollout/Q_mean,obs_rms_std,total/steps,reference_action_std,reference_actor_Q_std,train/param_noise_distance,obs_rms_mean,rollout/return,rollout/episodes,total/duration,reference_Q_std,train/loss_critic,total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,rollout/return_history,total/steps_per_second,train/loss_actor,rollout/episode_steps,rollout/actions_mean,reference_Q_mean,reference_action_mean,param_noise_stddev,rollout/actions_std,reference_perturbed_action_mean
54,58.63002014160156,2.2302017211914062,108000,0.9142856001853943,92.3720932006836,0.2095138430595398,0.09320410341024399,333.8365307241028,108.0,451.08196544647217,91.07738494873047,19.061443328857422,108.0,0.9091353416442871,91.11014556884766,396.22736471392955,239.4243358700978,-115.88468933105469,1000.0,0.03575927019119263,89.65943908691406,-0.3235156834125519,0.029019069447335507,0.8169748783111572,-0.3145889639854431
55,59.66557312011719,2.2330849170684814,110000,0.9305800199508667,95.37137603759766,0.13365302979946136,0.09229368716478348,340.1726244246087,110.0,459.4171738624573,94.46756744384766,14.178423881530762,110.0,0.8988144397735596,92.28799438476562,416.77650991303466,239.4338006026139,-116.67357635498047,1000.0,0.03349708393216133,91.0538330078125,-0.29857009649276733,0.030804326970036468,0.8180552124977112,-0.30238765478134155
56,60.40403747558594,2.2312798500061035,112000,0.8821715116500854,92.62529754638672,0.17713139951229095,0.09103813767433167,341.6743787671125,112.0,467.85936880111694,91.80606079101562,14.519576072692871,112.0,0.8440640568733215,87.69925689697266,431.15973061445794,239.38817402972697,-115.52603149414062,1000.0,0.03012091852724552,86.20329284667969,-0.34831443428993225,0.02960235274322695,0.8193730711936951,-0.38599953055381775
57,62.496337890625,2.2455272674560547,114000,0.8750666975975037,92.1519775390625,0.220139279961586,0.09251255542039871,359.0362948604789,114.0,476.192547082901,91.35514068603516,10.411674499511719,114.0,0.8877115249633789,85.01969909667969,463.2509588012083,239.39895888407003,-117.081787109375,1000.0,0.031297121196985245,83.43832397460938,-0.33170369267463684,0.02960235274322695,0.8182828426361084,-0.3241806626319885
58,64.59104919433594,2.257333993911743,116000,0.867464542388916,95.3326644897461,0.2108147293329239,0.094158835709095,379.31526400976065,116.0,484.6492280960083,94.01683807373047,19.187469482421875,116.0,0.8674266934394836,85.85298156738281,497.7456114084024,239.34836429166987,-115.44837188720703,1000.0,0.03320823982357979,83.72770690917969,-0.3224236071109772,0.028447279136688073,0.8172111511230469,-0.36119845509529114
59,64.93804931640625,2.2571287155151367,118000,0.8787047863006592,94.38499450683594,0.21501974761486053,0.0950789600610733,380.97590631728923,118.0,492.9618401527405,93.89942932128906,21.234607696533203,118.0,0.8349221348762512,84.86160278320312,514.2590440620351,239.36944077342497,-115.78689575195312,1000.0,0.032419390976428986,83.7313003540039,-0.27963683009147644,0.02788675535407124,0.8181850910186768,-0.27524855732917786
60,66.87970733642578,2.267554998397827,120000,0.8958126306533813,94.41864013671875,0.1734238564968109,0.09632736444473267,395.54907992252,120.0,501.4410936832428,93.84733581542969,19.084009170532227,120.0,0.8793370723724365,83.28889465332031,546.7195200091538,239.31026298335902,-116.42742156982422,1000.0,0.03348519653081894,82.23463439941406,-0.3122255504131317,0.027337276104373337,0.8169817328453064,-0.3492642641067505
61,68.7600326538086,2.283780097961426,122000,0.9432159662246704,94.7668685913086,0.19906920194625854,0.09763996303081512,408.6820302928696,122.0,509.8336412906647,93.8696517944336,31.223737716674805,122.0,0.948868453502655,83.50305938720703,579.68831758217,239.29374234927303,-115.78919219970703,1000.0,0.03486114740371704,81.73281860351562,-0.13561314344406128,0.030197360033365813,0.8161405324935913,-0.13446566462516785
62,70.35002899169922,2.294428586959839,124000,0.8929713368415833,94.61239624023438,0.19555945694446564,0.09871858358383179,418.1640852436915,124.0,518.2536828517914,94.28470611572266,24.153121948242188,124.0,0.8842594027519226,85.32440948486328,607.340147299929,239.26506285042868,-117.81214141845703,1000.0,0.036499712616205215,84.04643249511719,-0.27294161915779114,0.02960235274322695,0.8155543804168701,-0.29645293951034546
63,72.12275695800781,2.3077239990234375,126000,0.9160782694816589,94.09497833251953,0.16611255705356598,0.1002415269613266,432.9847595046962,126.0,526.6790273189545,93.86698150634766,42.50498580932617,126.0,0.9397867918014526,84.44429016113281,640.3095816624266,239.23489158358865,-118.97457122802734,1000.0,0.03895534574985504,83.56787872314453,-0.21254253387451172,0.02788675535407124,0.8149116039276123,-0.1977110505104065
64,73.88095092773438,2.3212666511535645,128000,0.9317373037338257,93.01024627685547,0.2026238739490509,0.10170813649892807,451.7358451833891,128.0,535.0562391281128,91.91423797607422,26.158971786499023,128.0,0.9289518594741821,83.91079711914062,680.2870233544439,239.22718891864363,-121.958984375,1000.0,0.040233004838228226,81.76042938232422,-0.19632834196090698,0.027337276104373337,0.8143023252487183,-0.21375633776187897
